t,a,rho,rho_dot,Theta,mu,H,energy_density,pressure,friedmann_residual,charge,continuity_residual
4.11,3.1740602453742457,0.29387146320956703,-0.049741559244272475,3.789982676476794,0.4068697159707969,0.13169786873789815,0.05203298589058108,-0.03526240032638391,-2.6712659861871657e-13,1.1236102527122116,0.0
4.12,3.178241831869964,0.2933624722168955,-0.05205445286253079,3.794050335651083,0.40667339482522785,0.13161359028625935,0.051966411444064504,-0.035023608173592576,5.351968868083645e-14,1.1236102527122116,0.0
4.13,3.1824262311718483,0.2928304183812458,-0.054354077634997326,3.798116369718131,0.40654467877863354,0.13152842082935745,0.051899176457574484,-0.03477223002153343,1.9172163856495672e-14,1.1236102527122116,-8.673617379884035e-19
4.14,3.18661341055218,0.2922754359027312,-0.056640131894618764,3.8021814543542964,0.40648349975823844,0.13144230136077664,0.0518312357614461,-0.03450846943596952,-3.944275461797986e-13,1.1236102527122116,2.6020852139652106e-18
4.15,3.190803335254669,0.29169766197760894,-0.05891231779805145,3.8062462647566835,0.40648983059517463,0.1313551741233841,0.05176254530792615,-0.034232533347446706,-9.724790417386941e-13,1.1236102527122116,-3.469446951953614e-18
4.16,3.1949959685221305,0.2910972367598922,-0.06117034124803365,3.8103114760511114,0.40656368499574674,0.13126698262019335,0.05169306217979746,-0.03394463193199241,-1.167038687910349e-12,1.1236102527122116,0.0
4.17,3.199191271623777,0.29047430333051744,-0.06341391181147096,3.8143777637150538,0.406705117539869,0.13117767162490557,0.05162274459997704,-0.033644978493828887,-1.182373643437984e-12,1.1236102527122116,1.734723475976807e-18
4.18,3.203389203884693,0.28982900765659003,-0.06564274264496203,3.8184458039762026,0.40691422375443037,0.13108718719132265,0.05155155193839082,-0.033333789343462546,-1.1922268727815322e-12,1.1236102527122116,-8.673617379884035e-19
4.19,3.207589722715511,0.28916149855493534,-0.06785655041734528,3.8225162742198315,0.4071911402229076,0.1309954766622741,0.05147944471912332,-0.03301128367672273,-1.1941350686051067e-12,1.1236102527122116,0.0
4.2,3.211792783642252,0.2884719276585007,-0.07005505523016904,3.826589853402856,0.4075360447353563,0.13090248867801216,0.051406384627488554,-0.03267768345428582,-1.197250631967961e-12,1.1236102527122116,-2.6020852139652106e-18
4.21,3.2159983403369172,0.2877604493823961,-0.07223798053829218,3.830667222467016,0.4079491564877813,0.13080817318391202,0.05133233451634732,-0.03233321328052047,-1.2103512636585378e-12,1.1236102527122116,2.6020852139652106e-18
